Date,VTV_adjclose,VTV_open,MTUM_adjclose,MTUM_open,MTUM_daily_return,VTV_daily_return,MTUM_trailing_return,VTV_trailing_return,MTUM_MACD,VTV_MACD,MTUM_MACD_signal,VTV_MACD_signal,MTUM_RSI,VTV_RSI,VIX_open
2013-05-02,55.0962,66.49,47.2951,51.82,0.004430979128553059,0.008109575967922389,0.02156499601568429,0.03253484681975127,0.0,0.0,0.0,0.0,100.0,100.0,14.48
2013-05-03,55.5742,67.42,47.8314,52.65,0.01127563154495359,0.008638316521491163,0.020737722347490717,0.030566323666928685,0.06621082621082763,0.07418803418802611,0.013242165242165527,0.014837606837605223,100.0,100.0,12.92
2013-05-06,55.7061,67.4443,47.7586,53.06,-0.0015231721743904636,0.00237059141231466,0.03131745538624742,0.029427389003633397,0.15003741852744668,0.13340557625343763,0.040601215899221756,0.03855120072077171,100.0,100.0,13.06
2013-05-07,56.0028,67.74,47.7768,52.59,0.0003810106038217853,0.005312033287988349,0.006490686289965186,0.023828698728652675,0.17651081799457558,0.20186939893996225,0.06778313631829253,0.07121484036460982,69.99446272108409,100.0,12.63
2013-05-08,56.2748,67.92,48.0123,52.74,0.0049170620557710265,0.0048451433252783005,0.024126355588580672,0.028372154521302484,0.2072063780557798,0.2675676144471879,0.09566778466578998,0.11048539518112543,72.79960388213682,100.0,12.87
2013-05-09,55.9863,68.25,48.0223,52.86,0.0002082582743332395,-0.005139814862408443,0.01949652471561336,0.019172992902034558,0.23846692935094893,0.3423161580560077,0.12422761360282178,0.15685154775610188,74.82710519665082,100.0,12.91
2013-05-10,56.1512,68.0,48.1313,53.49,0.0022672067752096403,0.0029410343348308388,0.02253693452274419,0.023165139244269106,0.31049765268077323,0.37703577304233704,0.16148162141841207,0.20088839281334894,82.29049741846802,84.4574636400646,13.08
2013-05-13,56.1759,68.02,48.2625,53.19,0.002722168459344587,0.0004397870219756683,0.01948093856180888,0.01746329371576394,0.3394619213559338,0.40153648822489174,0.19707768140591642,0.24101801189565752,71.43001244371058,84.66283582746996,12.57
2013-05-14,56.8435,68.17,48.6804,53.32,0.00862162342208217,0.011814038382966352,0.032530135315358866,0.02927733209873029,0.36865658289509184,0.4281221028183353,0.23139346170375152,0.2784388300801931,73.08753623458192,86.1418457095821,12.61
2013-05-15,57.2556,68.89,48.8404,53.74,0.0032813542047192,0.007223576556670608,0.036582122294397834,0.046554281949029885,0.42083295210218097,0.501508301114427,0.2692813597834374,0.3230527242870399,77.6075690221733,90.75188871812772,12.98
2013-05-16,57.033,69.34,48.6313,53.58,-0.00429048268909904,-0.003895406566905457,0.027860660476745736,0.03454929941420204,0.44415252396411375,0.5891868519035057,0.3042555926195727,0.37627954981033307,72.6048174139445,92.44376862686994,13.07
2013-05-17,57.5935,69.46,48.5313,53.6,-0.002058405915622341,0.009779666434297063,0.014526623016169804,0.03569064932700794,0.4589567181697518,0.6607391426709768,0.3351958177296085,0.4331714683824618,72.84049668176878,92.82093897851679,12.73
2013-05-20,57.6347,69.82,48.4676,53.4,-0.0013134171450857046,0.000715102757063768,0.014736378045474563,0.03403516067175705,0.44937075387878167,0.7379867876577748,0.3580308049594431,0.49413453223752446,66.66424702892712,93.81789225902577,13.28
2013-05-21,57.7171,69.96,48.6766,53.54,0.00430288833439052,0.0014286732242680955,0.018658255776043298,0.030151800608036794,0.4479074399313987,0.8012664321613272,0.37600613195383426,0.5555609122222851,68.66704014356228,94.15767631409341,13.08
2013-05-22,57.2968,70.1,48.416,53.88,-0.005368084195794154,-0.007308714354341994,0.008373109524478117,0.0179979429284165,0.4687791177226899,0.852881350992746,0.3945607291076054,0.6150249999763773,72.92185184810396,94.48416091121929,13.45
2013-05-23,57.2308,68.83,48.3013,52.67,-0.00237186219575225,-0.0011525607330664656,0.005792989054392628,0.021985197057758477,0.38326514314068305,0.7822904030573312,0.39230161191422097,0.6484780805925681,47.96104208334915,61.117982851116395,14.94
2013-05-24,57.1814,69.14,48.3313,53.18,0.0006209084918302743,-0.0008635443260391895,0.004146690771013262,0.01818061839688845,0.35258308165175123,0.7427984591984398,0.384357905861727,0.6673421563137425,54.959099972380706,64.42081222444753,14.59
2013-05-28,57.5523,70.06,48.5486,53.81,0.004485974168250362,0.006465428937133311,0.005910496479919036,0.02420626031204609,0.37478279892792443,0.7767828512269546,0.38244288447496655,0.689230295296385,61.794045401917515,72.01764311579583,13.67
2013-05-29,57.2308,69.49,47.895,53.0,-0.013554243235418983,-0.005601884611094121,-0.016265370177582117,0.0067903373179856175,0.32328932615082095,0.74908648770257,0.3706121728101375,0.7012015337776221,51.0646039957537,63.03706806755813,15.3
2013-05-30,57.4946,69.49,47.9314,52.89,0.0007597071736120675,0.004598815343901386,-0.01878701720868925,0.004165576105216395,0.27048629960293624,0.7188504594404037,0.3505869981686972,0.7047313189101785,49.800006737315314,63.03706806755813,14.9
2013-05-31,56.6292,69.58,47.2678,52.53,-0.013941519432999261,-0.015166277111712922,-0.02843805395258947,-0.00710529443959107,0.19731599333775307,0.6941487226601879,0.3199327972025084,0.7026147996601804,45.802273572667424,63.86227537821374,15.02
2013-06-03,56.9836,68.89,47.0042,51.5,-0.005592343155800705,0.006238753899157956,-0.031971991192767835,-0.010646206974730177,0.055574972835536585,0.6118422482863934,0.267061232329114,0.684460289385423,36.71980045178188,53.922860059498916,16.4
2013-06-04,56.7034,69.13,46.9769,51.64,-0.0005809678917962913,-0.004929333474640529,-0.03123954193947842,-0.016290643206434474,-0.04494092610876521,0.5595298567025253,0.20466080064153816,0.6594742028488435,38.50478277302435,56.46114452875416,16.16
2013-06-05,55.9369,68.64,46.3315,51.26,-0.013833916193460194,-0.013609903941961043,-0.049376346467329135,-0.03132922037266361,-0.1534939417932364,0.4730796370091497,0.13302985215458327,0.6221952896809049,35.57178344676463,50.36126910155491,16.86
2013-06-06,56.4891,67.86,46.6769,50.66,0.007427320281471861,0.009823429466323752,-0.03658094199006312,-0.014197076551997867,-0.28465662995863994,0.33773454024643,0.049492555731938635,0.5653031397940099,31.49272553689137,42.491583073814624,17.7
2013-06-07,57.1814,68.97,47.4587,52.01,0.016610463529012964,0.012180971492892212,-0.017598616265297906,-0.0008635443260391895,-0.2764831619405541,0.31639311639817436,-0.01570258780255992,0.5155211351148429,46.388937600802514,53.602881439807256,15.9
